run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range,pyramid_step,atr_pct_threshold
1001,A,25,20,8,1.5,0.05,0.15,5,74.6639,9.7429,0.9141,12.7848,37.88,3.2292,66,9.9568,0.7621,174663.88,2014-01-01~2020-01-01,2.0,off
1002,A,25,20,8,1.5,0.0,0.15,5,75.9007,9.8721,0.8966,11.5427,39.06,2.9885,64,10.329,0.8553,175900.67,2014-01-01~2020-01-01,0.5,off
1000,A,25,20,8,1.5,0.05,0.15,5,76.4709,9.9314,0.9121,11.7298,40.91,2.8069,66,10.2004,0.8467,176470.9,2014-01-01~2020-01-01,1.0,off
1003,A,25,20,8,1.5,0.1,0.15,5,75.9007,9.8721,0.8966,11.5427,39.06,2.9885,64,10.329,0.8553,175900.67,2014-01-01~2020-01-01,0.5,off
1004,A,25,20,8,1.5,0.05,0.15,5,15.9411,2.4964,0.2411,18.4427,34.09,2.2412,44,7.6444,0.1354,115941.15,2014-01-01~2020-01-01,0.5,0.5
1006,A,25,20,8,1.5,0.05,0.15,8,75.9007,9.8721,0.8966,11.5427,39.06,2.9885,64,10.329,0.8553,175900.67,2014-01-01~2020-01-01,0.5,off
1007,A,25,20,8,1.5,0.05,0.15,10,75.9007,9.8721,0.8966,11.5427,39.06,2.9885,64,10.329,0.8553,175900.67,2014-01-01~2020-01-01,0.5,off
1005,A,25,20,8,1.5,0.05,0.15,5,53.0179,7.3489,0.7619,9.1666,41.51,2.6163,53,8.8152,0.8017,153017.89,2014-01-01~2020-01-01,0.5,0.75
999,A,25,20,8,1.5,0.05,0.15,5,75.9007,9.8721,0.8966,11.5427,39.06,2.9885,64,10.329,0.8553,175900.67,2014-01-01~2020-01-01,0.5,off
